Metric,Mean,Std.
Micro - Precision,0.6153846153846154,
Micro - Recall,0.2857142857142857,
Micro - F1,0.3902439024390244,
Micro - FPavg,0.9090909090909091,
Micro - FPcmb,0.17857142857142858,
Micro - TP,16.0,
Micro - FP,10.0,
Micro - FN,40.0,
Micro - n_true_cmb,56.0,
Micro - n_pred_cmb,26.0,
Macro - Precision,0.6222222222222222,0.4841946348777983
Macro - Recall,0.22227238002639071,0.3092911290378372
Macro - F1,0.5068452380952381,0.2612382617875274
Macro - FPavg,0.7142857142857143,1.6374732612530443
Macro - FPcmb,0.03208556149732621,0.10641576867450481
