Metric,Mean,Std.
Micro - Precision,0.5925925925925926,
Micro - Recall,0.2857142857142857,
Micro - F1,0.3855421686746988,
Micro - FPavg,1.0,
Micro - FPcmb,0.19642857142857142,
Micro - TP,16.0,
Micro - FP,11.0,
Micro - FN,40.0,
Micro - n_true_cmb,56.0,
Micro - n_pred_cmb,27.0,
Macro - Precision,0.6640211640211641,0.44102996791904137
Macro - Recall,0.30491700812556427,0.37894915632935144
Macro - F1,0.555476781283233,0.32453612478156635
Macro - FPavg,0.8461538461538461,1.5730095277394138
Macro - FPcmb,0.052711993888464474,0.11729183521284439
