Metric,Mean,Std.
Micro - Precision,0.6428571428571429,
Micro - Recall,0.225,
Micro - F1,0.33333333333333337,
Micro - FPavg,0.38461538461538464,
Micro - FPcmb,0.125,
Micro - TP,9.0,
Micro - FP,5.0,
Micro - FN,31.0,
Micro - n_true_cmb,40.0,
Micro - n_pred_cmb,14.0,
Macro - Precision,0.6222222222222222,0.4841946348777983
Macro - Recall,0.23589743589743592,0.3107522350152152
Macro - F1,0.6388888888888888,0.20000944800057213
Macro - FPavg,0.35714285714285715,0.633323693776651
Macro - FPcmb,0.17094017094017094,0.37299638844494526
