Metric,Mean,Std.
Micro - Precision,0.7169811320754716,
Micro - Recall,0.2992125984251969,
Micro - F1,0.4222222222222222,
Micro - FPavg,0.8333333333333334,
Micro - FPcmb,0.11811023622047244,
Micro - TP,38.0,
Micro - FP,15.0,
Micro - FN,89.0,
Micro - n_true_cmb,127.0,
Micro - n_pred_cmb,55.0,
Macro - Precision,0.7992929292929293,0.25648922007365677
Macro - Recall,0.34272201829673093,0.3219301480236571
Macro - F1,0.4264842347195288,0.19195332751573174
Macro - FPavg,0.8333333333333334,1.465284553774253
Macro - FPcmb,0.35181501129776993,0.9491376792560328
