Metric,Mean,Std.
Micro - Precision,0.9069767441860465,
Micro - Recall,0.527027027027027,
Micro - F1,0.6666666666666665,
Micro - FPavg,0.2,
Micro - FPcmb,0.05405405405405406,
Micro - TP,39.0,
Micro - FP,4.0,
Micro - FN,35.0,
Micro - n_true_cmb,74.0,
Micro - n_pred_cmb,43.0,
Macro - Precision,0.953968253968254,0.10144793553846702
Macro - Recall,0.5155094905094905,0.4265722406198032
Macro - F1,0.7891277804321283,0.22725003967461854
Macro - FPavg,0.2,0.523148363780597
Macro - FPcmb,0.03723776223776224,0.11566741867905712
