Metric,Mean,Std.
Micro - Precision,0.75,
Micro - Recall,0.7777777777777778,
Micro - F1,0.7636363636363638,
Micro - FPavg,0.7,
Micro - FPcmb,0.25925925925925924,
Micro - TP,21.0,
Micro - FP,7.0,
Micro - FN,6.0,
Micro - n_true_cmb,27.0,
Micro - n_pred_cmb,28.0,
Macro - Precision,0.8080808080808081,0.3271308459132579
Macro - Recall,0.8791666666666667,0.22775236985662442
Macro - F1,0.8588235294117647,0.19975849402653997
Macro - FPavg,0.6363636363636364,1.2060453783110545
Macro - FPcmb,0.16666666666666666,0.3333333333333333
