Metric,Mean,Std.
Micro - Precision,0.7777777777777778,
Micro - Recall,0.6363636363636364,
Micro - F1,0.7000000000000001,
Micro - FPavg,0.2857142857142857,
Micro - FPcmb,0.18181818181818182,
Micro - TP,14.0,
Micro - FP,4.0,
Micro - FN,8.0,
Micro - n_true_cmb,22.0,
Micro - n_pred_cmb,18.0,
Macro - Precision,0.8095238095238094,0.3859561490145596
Macro - Recall,0.7392857142857142,0.394275660805098
Macro - F1,0.8597222222222222,0.22309330535814587
Macro - FPavg,0.25,0.5773502691896257
Macro - FPcmb,0.14285714285714285,0.5345224838248486
