Metric,Mean,Std.
Micro - Precision,0.8225806451612904,
Micro - Recall,0.6891891891891891,
Micro - F1,0.75,
Micro - FPavg,0.55,
Micro - FPcmb,0.14864864864864866,
Micro - TP,51.0,
Micro - FP,11.0,
Micro - FN,23.0,
Micro - n_true_cmb,74.0,
Micro - n_pred_cmb,62.0,
Macro - Precision,0.9079365079365078,0.19105653885804633
Macro - Recall,0.793543956043956,0.33782690128330706
Macro - F1,0.8679894179894181,0.18735400206645605
Macro - FPavg,0.55,1.316894273021107
Macro - FPcmb,0.1578671328671329,0.45733026915246866
