Metric,Mean,Std.
Micro - Precision,0.5,
Micro - Recall,0.30357142857142855,
Micro - F1,0.3777777777777777,
Micro - FPavg,1.5454545454545454,
Micro - FPcmb,0.30357142857142855,
Micro - TP,17.0,
Micro - FP,17.0,
Micro - FN,39.0,
Micro - n_true_cmb,56.0,
Micro - n_pred_cmb,35.0,
Macro - Precision,0.5388888888888889,0.4414307546049676
Macro - Recall,0.31318147093548165,0.3932119242918668
Macro - F1,0.5909722222222221,0.257800750293423
Macro - FPavg,1.3076923076923077,1.931519927613803
Macro - FPcmb,0.3130772970345163,0.6367605989503068
