Metric,Mean,Std.
Micro - Precision,0.6724137931034483,
Micro - Recall,0.30708661417322836,
Micro - F1,0.42162162162162165,
Micro - FPavg,1.0555555555555556,
Micro - FPcmb,0.14960629921259844,
Micro - TP,39.0,
Micro - FP,19.0,
Micro - FN,88.0,
Micro - n_true_cmb,127.0,
Micro - n_pred_cmb,59.0,
Macro - Precision,0.6832910679064526,0.37786084542005316
Macro - Recall,0.2871288779334756,0.3399354890464443
Macro - F1,0.48945034700734114,0.2591999540257342
Macro - FPavg,1.0555555555555556,2.0138409955990957
Macro - FPcmb,0.3829182630906769,0.9565013956581551
