Metric,Mean,Std.
Micro - Precision,0.6933333333333334,
Micro - Recall,0.7027027027027027,
Micro - F1,0.6979865771812082,
Micro - FPavg,1.15,
Micro - FPcmb,0.3108108108108108,
Micro - TP,52.0,
Micro - FP,23.0,
Micro - FN,22.0,
Micro - n_true_cmb,74.0,
Micro - n_pred_cmb,75.0,
Macro - Precision,0.7488795518207283,0.28026537197940016
Macro - Recall,0.7037212787212787,0.39296561677606456
Macro - F1,0.8141931545157352,0.1618745125687412
Macro - FPavg,1.15,1.8715318802914815
Macro - FPcmb,0.4019272394272395,0.716029123899342
