Metric,Mean,Std.
Micro - Precision,0.7727272727272727,
Micro - Recall,0.7727272727272727,
Micro - F1,0.7727272727272727,
Micro - FPavg,0.35714285714285715,
Micro - FPcmb,0.22727272727272727,
Micro - TP,17.0,
Micro - FP,5.0,
Micro - FN,5.0,
Micro - n_true_cmb,22.0,
Micro - n_pred_cmb,22.0,
Macro - Precision,0.8076923076923077,0.3839738238941523
Macro - Recall,0.75,0.42742520713255516
Macro - F1,0.9393939393939393,0.13483997249264842
Macro - FPavg,0.3333333333333333,0.816496580927726
Macro - FPcmb,0.14285714285714285,0.3631365196012815
